phenotype	domain	chapter	subchapter	name	description	source	notes	n_non_missing_female	n_missing_female	n_non_missing_male	n_missing_male	Category	Keep_category
30250_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Reticulocyte count	Reticulocyte count	phesant	"Result of ""Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes count is computed from the reticulocyte per cent multiplied by the red blood cell count."	184923	9251	159806	7214	Blood & immune cells	Blood & immune cells
30260_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean reticulocyte volume	Mean reticulocyte volume	phesant	"Result of ""Mean Reticulocytes Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Reticulocytes volume is the average volume of all reticulocytes, calculated from the reticulocytes (percentage)."	184922	9252	159806	7214	Blood & immune cells	Blood & immune cells
30270_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean sphered cell volume	Mean sphered cell volume	phesant	"Result of ""Mean Sphered Cells Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."	184923	9251	159806	7214	Blood & immune cells	Blood & immune cells
30280_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Immature reticulocyte fraction	Immature reticulocyte fraction	phesant	"Result of ""Immature Reticulocytes Fraction"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Immature Reticulocytes Fraction (Percentage) is an indication of new reticulocyte synthesis and is calculated from the reticulocytes (Percentage) as the total number of reticulocyte events in the outermost light scattering region, corresponding to immature reticulocytes, relative to the total number of reticulocytes and is reported as this ratio."	184922	9252	159806	7214	Blood & immune cells	Blood & immune cells
30290_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	High light scatter reticulocyte percentage	High light scatter reticulocyte percentage	phesant	"Result of ""High Light Scatter Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes (Percentage) is computed as: (HLR / Total Erythrocytes) x 100."	184923	9251	159806	7214	Blood & immune cells	Blood & immune cells
30300_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	High light scatter reticulocyte count	High light scatter reticulocyte count	phesant	"Result of ""High Light Scatter Reticulocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. High Light Scatter Reticulocytes Count is calculated as: (HLR / Total Erythrocytes) x red blood cells"	184923	9251	159806	7214	Blood & immune cells	Blood & immune cells
20022_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Birth weight	Birth weight	phesant	Participants were asked to enter their own birth-weight. The weight could be entered either in Kg or in Imperial pounds+ounces. Values entered as Imperial units are held in ~F121~ and ~F122~, and their values have been converted into Kg and incorporated into this field.	124411	69763	81064	85956	Weight	
21001_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Body mass index (BMI)	Body mass index (BMI)	phesant	BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.	193570	604	166413	607	Weight	
21002_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Weight	Weight	phesant	Weight was measured by a variety of means during the initial Assessment Centre visit. This field amalgamates these values into a single item.	193627	547	166489	531	Weight	
23098_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Weight	phesant	Weight of person taken during impedance measurement. 0.1 increments. Range 0 - 200Kg.	190993	3181	163845	3175	Weight	
23099_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Body fat percentage	phesant	Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.	190991	3183	163637	3383	Weight	
23100_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Whole body fat mass	Whole body fat mass	phesant	Body composition estimation by impedance measurement. Fat mass Total fat mass in Kg, in 0.1Kg increments.	190941	3233	163303	3717	Weight	
23101_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Whole body fat-free mass	phesant	Body composition estimation by impedance measurement. Fat free mass Fat free mass in Kg. Increment in 0.1 Kg	190993	3181	163815	3205	Weight	
23102_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Whole body water mass	Whole body water mass	phesant	Body composition estimation by impedance measurement. Body water mass Units in Kg. Increments in 0.1 Kg.	190992	3182	163842	3178	Weight	
23104_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Body mass index (BMI)	phesant	Body composition estimation by impedance measurement. Body Mass Index. Increments of 0.1 .	190990	3184	163841	3179	Weight	
23105_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Basal metabolic rate	Basal metabolic rate	phesant	Body composition estimation by impedance measurement. Basal metabolic rate Return value in Kilo- Joules.	190987	3187	163838	3182	Weight	
23106_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Impedance of whole body	Impedance of whole body	phesant	Body composition estimation by impedance measurement. Impedance of whole body. is Range 150 - 1200ohms in 1ohm increments.	190958	3216	163837	3183	Weight	
23107_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Impedance of leg	Impedance of leg (right)	phesant	Body composition estimation by impedance measurement. Impedance of right leg, oh Measured impedance of right leg. Range 150 - 1200 (ohms) in 1 (ohms) increments.	190980	3194	163837	3183	Weight	
23108_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Impedance of leg (left)	phesant	Body composition estimation by impedance measurement. Impedance of left leg, ohm Measured impedance of left leg. Range 150 - 1200 (ohms) in 1 (ohms) increments.	190977	3197	163834	3186	Weight	
23109_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Impedance of arm	Impedance of arm (right)	phesant	Body composition estimation by impedance measurement. Impedance of right arm, oh Measured impedance of right arm. Range 150 - 1200 (ohms) in 1 (ohms) increments.	190961	3213	163831	3189	Weight	
23110_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Impedance of arm (left)	phesant	Body composition estimation by impedance measurement. Impedance of left arm, ohm Measured impedance of left arm. Range 150 - 1200 (ohms) in 1 (ohms) increments.	190974	3200	163833	3187	Weight	
23111_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Leg fat percentage	Leg fat percentage (right)	phesant	Body composition estimation by impedance measurement. Right leg fat percentages Range 1-75% in 0.1% increments.	190977	3197	163834	3186	Weight	
23112_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg fat mass (right)	phesant	Body composition estimation by impedance measurement. Right leg fat mass Right leg fat mass in Kg, 0.1 increments.	190975	3199	163832	3188	Weight	
23113_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg fat-free mass (right)	phesant	Body composition estimation by impedance measurement. Right leg fat free mass. Right leg fat free mass in Kg, 0.1 increments.	190972	3202	163826	3194	Weight	
23114_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg predicted mass (right)	phesant	Body composition estimation by impedance measurement. Right leg predicted mass. in Kg, 0.1 increments.	190972	3202	163826	3194	Weight	
23115_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg fat percentage (left)	phesant	Body composition estimation by impedance measurement. Left leg fat percentage Range 1-75% in 0.1% increments.	190969	3205	163822	3198	Weight	
23116_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg fat mass (left)	phesant	Body composition estimation by impedance measurement. Left leg fat mass Left leg free mass in Kg, 0.1 increments.	190967	3207	163821	3199	Weight	
23117_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg fat-free mass (left)	phesant	Body composition estimation by impedance measurement. Left leg fat free mass. Left leg fat free mass in Kg, 0.1 increments.	190958	3216	163813	3207	Weight	
23118_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Leg predicted mass (left)	phesant	Body composition estimation by impedance measurement. Left leg predicted mass. in Kg, 0.1 increments.	190955	3219	163811	3209	Weight	
23119_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Arm fat percentage	Arm fat percentage (right)	phesant	Body composition estimation by impedance measurement. Right arm fat percentage Range 1-75% in 0.1% increments.	190952	3222	163808	3212	Weight	
23120_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm fat mass (right)	phesant	Body composition estimation by impedance measurement. Right arm fat mass. Right arm fat mass in Kg, 0.1 increments.	190931	3243	163805	3215	Weight	
23121_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm fat-free mass (right)	phesant	Body composition estimation by impedance measurement. Right arm fat free mass Right arm fat free mass in Kg, 0.1 increments.	190934	3240	163798	3222	Weight	
23122_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm predicted mass (right)	phesant	Body composition estimation by impedance measurement. Right Arm predicted mass in Kg, 0.1 increments.	190930	3244	163796	3224	Weight	
23123_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm fat percentage (left)	phesant	Body composition estimation by impedance measurement. Left arm fat percentage Range 1-75% in 0.1% increments.	190921	3253	163786	3234	Weight	
23124_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm fat mass (left)	phesant	Body composition estimation by impedance measurement. Left arm fat mass. Left arm fat mass in Kg, 0.1 increments.	190903	3271	163770	3250	Weight	
23125_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm fat-free mass (left)	phesant	Body composition estimation by impedance measurement. Left arm fat free mass Left arm fat free mass in Kg, 0.1 increments.	190904	3270	163764	3256	Weight	
23126_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Arm predicted mass (left)	phesant	Body composition estimation by impedance measurement. Left arm predicted mass. in Kg, 0.1 increments.	190897	3277	163756	3264	Weight	
23127_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Trunk fat percentage	Trunk fat percentage	phesant	Body composition estimation by impedance measurement. Trunk fat percentages Range 1-75% in 0.1% increments.	190879	3295	163740	3280	Weight	
23128_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Trunk fat mass	phesant	Body composition estimation by impedance measurement. Trunk fat mass Trunk fat mass in Kg, 0.1 increments.	190867	3307	163730	3290	Weight	
23129_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Trunk fat-free mass	phesant	Body composition estimation by impedance measurement. Trunk fat free mass. Trunk fat free mass in Kg, 0.1 increments.	190833	3341	163697	3323	Weight	
23130_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	NA	Trunk predicted mass	phesant	Body composition estimation by impedance measurement. Trunk predicted mass in Kg, 0.1 increments.	190816	3358	163678	3342	Weight	
30500_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Microalbumin in urine	Microalbumin in urine	phesant	Measured by immunoturbidimetric analysis on a Beckman Coulter AU5400.	51939	142235	56767	110253	Metabolic	
30510_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Creatinine (enzymatic) in urine	Creatinine (enzymatic) in urine	phesant	Measured by enzymatic analysis on a Beckman Coulter AU5400.	188059	6115	162753	4267	Metabolic	
30520_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Potassium in urine	Potassium in urine	phesant	Measured by ISE (ion selective electrode) analysis on a Beckman Coulter AU5400.	187662	6512	162391	4629	Metabolic	
30530_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Sodium in urine	Sodium in urine	phesant	Measured by ISE (ion selective electrode) analysis using Beckman Coulter AU5400.	187478	6696	162583	4437	Metabolic	
30600_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Albumin	Albumin (g/L)	biomarkers		168146	25996	147122	19875	Metabolic	
30610_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Alkaline phosphatase	Alkaline phosphatase (U/L)	biomarkers		185016	9126	159276	7721	Metabolic	
30620_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Alanine aminotransferase	Alanine aminotransferase (U/L)	biomarkers		184990	9152	159146	7851	Metabolic	
30630_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Apoliprotein A	Apoliprotein A (g/L)	biomarkers		166575	27567	146812	20185	Metabolic	
30640_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Apoliprotein B	Apoliprotein B (g/L)	biomarkers		184377	9765	158213	8784	Metabolic	
30650_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Aspartate aminotransferase	Aspartate aminotransferase (U/L)	biomarkers		184364	9778	158626	8371	Metabolic	
30660_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Direct bilirubin	Direct bilirubin (umol/L)	biomarkers		144480	49662	148453	18544	Metabolic	
30670_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Urea	Urea (mmol/L)	biomarkers		184888	9254	159164	7833	Metabolic	
30680_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Calcium	Calcium (mmol/L)	biomarkers		168077	26065	147076	19921	Metabolic	
30690_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Cholesterol	Cholesterol (mmol/L)	biomarkers		184998	9144	159280	7717	Metabolic	
30700_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Creatinine	Creatinine (umol/L)	biomarkers		184912	9230	159192	7805	Metabolic	
30710_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	C-reactive protein	C-reactive protein (mg/L)	biomarkers		184664	9478	158860	8137	Metabolic	
30720_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Cystatin C	Cystatin C (mg/L)	biomarkers		184994	9148	159270	7727	Metabolic	
30730_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	Gamma glutamyltransferase	Gamma glutamyltransferase (U/L)	biomarkers		184927	9215	159177	7820	Metabolic	
30740_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Glucose	Glucose (mmol/L)	biomarkers		167978	26164	146938	20059	Metabolic	
30750_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Glycated haemoglobin	Glycated haemoglobin (mmol/mol)	biomarkers		185022	9120	159160	7837	Metabolic	
30760_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	HDL cholesterol	HDL cholesterol (mmol/L)	biomarkers		168089	26053	147044	19953	Metabolic	
30770_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	IGF-1	IGF-1 (nmol/L)	biomarkers		183995	10147	158444	8553	Metabolic	
30780_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	LDL direct	LDL direct (mmol/L)	biomarkers		184689	9453	158932	8065	Metabolic	
30790_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Lipoprotein A	Lipoprotein A (nmol/L)	biomarkers		147684	46458	126212	40785	Metabolic	
30800_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Oestradiol	Oestradiol (pmol/L)	biomarkers		40997	153145	13501	153496	Metabolic	
30810_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Phosphate	Phosphate (mmol/L)	biomarkers		167812	26330	146846	20151	Metabolic	
30820_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Rheumatoid factor	Rheumatoid factor (IU/ml)	biomarkers		17000	177142	13565	153432	Metabolic	
30830_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	SHBG	SHBG (nmol/L)	biomarkers		166235	27907	145980	21017	Metabolic	
30840_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Total bilirubin	Total bilirubin (umol/L)	biomarkers		184244	9898	158585	8412	Metabolic	
30850_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Testosterone	Testosterone (nmol/L)	biomarkers		154364	39778	157738	9259	Metabolic	
30860_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Total protein	Total protein (g/L)	biomarkers		167977	26165	146944	20053	Metabolic	
30870_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Triglycerides	Triglycerides (mmol/L)	biomarkers		184885	9257	159107	7890	Metabolic	
30880_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Urate	Urate (umol/L)	biomarkers		184755	9387	159081	7916	Metabolic	
30890_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	Vitamin D	Vitamin D (nmol/L)	biomarkers		174597	19545	154650	12347	Metabolic	
48_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Waist circumference	Waist circumference	phesant	Waist circumference	193828	346	166736	284	Weight	
49_raw	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	Hip circumference	Hip circumference	phesant	Hip circumference	193814	360	166707	313	Weight	
1807_raw	Mortality	Mortality	All-Cause Mortality	Father's age at death	Father's age at death	phesant	"ACE touchscreen question ""What was his age when he died?"" The following checks were performed: If answer If answer > 122 then rejected If answer If answer > 105 then participant asked to confirm ~F1807~ was collected from participants who indicated their father has died, as defined by their answers to ~F1797~ or, if they are adopted, their adopted father has died, as defined by their answers to ~F1797~"	142594	51580	123637	43383	All-Cause Mortality	
20007_raw	Mortality	Mortality	All-Cause Mortality	NA	Interpolated Age of participant when cancer first diagnosed	phesant	This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, given as their estimated age. If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25 then the value presented is 1970.5 If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 Interpolated values before the date of birth were truncated forwards to that time. Interpolated values after the time of data acquisition were truncated back to that time.	19618	174556	11253	155767	All-Cause Mortality	
3526_raw	Mortality	Mortality	All-Cause Mortality	Mother's age at death	Mother's age at death	phesant	"ACE touchscreen question ""What was her age when she died?"" The following checks were performed: If answer If answer > 122 then rejected If answer If answer > 105 then participant asked to confirm ~F3526~ was collected from participants who indicated their mother has died, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother has died, as defined by their answers to ~F1835~"	114289	79885	99347	67673	All-Cause Mortality	
46_raw	Muscular	Neuromusculoskeletal and Movement-Related Functions	Muscle Power Functions	NA	Hand grip strength (left)	phesant	Left grip strength	193280	894	166424	596	Muscle Power Functions	
47_raw	Muscular	Neuromusculoskeletal and Movement-Related Functions	Muscle Power Functions	Hand grip strength	Hand grip strength (right)	phesant	Right grip strength	193305	869	166424	596	Muscle Power Functions	
129_raw	NA	NA	NA	NA	Place of birth in UK - north co-ordinate	phesant	Place born - north co-ordinate	181097	13077	157604	9416	NA	
130_raw	NA	NA	NA	NA	Place of birth in UK - east co-ordinate	phesant	Place born - east co-ordinate	181097	13077	157604	9416	NA	
189_raw	NA	NA	NA	NA	Townsend deprivation index at recruitment	phesant	Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.	193944	230	166819	201	NA	
20074_raw	NA	NA	NA	NA	Home location at assessment - east co-ordinate (rounded)	phesant	This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead. The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This East co-ordinate needs to be used in conjunction with the North co-ordinate in ~F20075~. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.	192516	1658	165277	1743	NA	
20075_raw	NA	NA	NA	NA	Home location at assessment - north co-ordinate (rounded)	phesant	This location information is based on the postcode for the address to which the participants invitation was sent. If the participant updated their home address during their assessment centre visit, then that postcode was used as the source instead. The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This North co-ordinate needs to be used in conjunction with the East co-ordinate in ~F20074~. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F20033~ and ~F20034~, however special approval will be required to release the more detailed information.	192516	1658	165277	1743	NA	
22702_raw	NA	NA	NA	NA	Home location - east co-ordinate (rounded)	phesant	This location information is based on the postcode for an address at which the participant is believed to have been resident, derived from a number of sources. The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This East co-ordinate needs to be used in conjunction with the North co-ordinate in ~F22704~. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F22701~ and ~F22703~, however special approval will be required to release the more detailed information. In some cases participants will appear to be at the same location at consecutive times. This occurs because there is a difference of under 1Km in the distance between two consecutive locations according to the more granular data.	194172	2	167015	5	NA	
22704_raw	NA	NA	NA	NA	Home location - north co-ordinate (rounded)	phesant	This location information is based on the postcode for an address at which the participant is believed to have been resident, derived from a number of sources. The location co-ordinates use the Ordnance Survey (OSGB) reference, rounded to the nearest Kilometre. This North co-ordinate needs to be used in conjunction with the East co-ordinate in ~F22702~. For most purposes, grid co-ordinates rounded to a 1Km distance will provide sufficient information on location of residence at assessment. Research proposals that require location details to a finer level of granularity (i.e. 100m) should request ~F22701~ and ~F22703~, however special approval will be required to release the more detailed information. In some cases participants will appear to be at the same location at consecutive times. This occurs because there is a difference of under 1Km in the distance between two consecutive locations according to the more granular data.	194172	2	167015	5	NA	
30897_raw	NA	NA	NA	NA	Estimated sample dilution factor (factor)	biomarkers		183965	10177	158453	8544	NA	
age	NA	NA	NA	NA	Age at recruitment			194174	0	167020	0	NA	
84_raw	Neoplasms	Malignant Neoplasms	Malignant Neoplasms	NA	Cancer year/age first occurred	phesant	For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.	19618	174556	11253	155767	Malignant Neoplasms	
100001_raw	Nutritional	Self-Care	Food	Food weight	Food weight	phesant	Total food weight. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100002_raw	Nutritional	Self-Care	Food	Energy intake	Energy	phesant	Total energy. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100003_raw	Nutritional	Self-Care	Food	Protein intake	Protein	phesant	Protein. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100004_raw	Nutritional	Self-Care	Food	Fat intake	Fat	phesant	Total fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100005_raw	Nutritional	Self-Care	Food	Carbohydrate intake	Carbohydrate	phesant	Carbohydrate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100006_raw	Nutritional	Self-Care	Food	Saturated fat intake	Saturated fat	phesant	Saturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100007_raw	Nutritional	Self-Care	Food	Polyunsaturated fat intake	Polyunsaturated fat	phesant	Polyunsaturated fat. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100008_raw	Nutritional	Self-Care	Food	Total sugars intake	Total sugars	phesant	Total sugars. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100009_raw	Nutritional	Self-Care	Food	Englyst dietary fibre intake	Englyst dietary fibre	phesant	Englyst dietary fibre. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100011_raw	Nutritional	Self-Care	Food	Iron intake	Iron	phesant	Iron. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100012_raw	Nutritional	Self-Care	Food	Vitamin B6 intake	Vitamin B6	phesant	Vitamin B6. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100013_raw	Nutritional	Self-Care	Food	Vitamin B12 intake	Vitamin B12	phesant	Vitamin B12. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100014_raw	Nutritional	Self-Care	Food	Folate intake	Folate	phesant	Folate. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100015_raw	Nutritional	Self-Care	Food	Vitamin C intake	Vitamin C	phesant	Vitamin C. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100016_raw	Nutritional	Self-Care	Food	Potassium intake	Potassium	phesant	Potassium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100017_raw	Nutritional	Self-Care	Food	Magnesium intake	Magnesium	phesant	Magnesium. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
100018_raw	Nutritional	Self-Care	Food	Retinol intake	Retinol	phesant	Retinol. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27286	166888	22604	144416	Food intake	
100019_raw	Nutritional	Self-Care	Food	Carotene intake	Carotene	phesant	Carotene. Estimated intake, based on food and beverage consumption yesterday, excluding any supplements.	27970	166204	23483	143537	Food intake	
