GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
GPR160                3  169755717  169803191     10       4  152404       1.1476      0.12557
PRKCI                 3  169940153  170023769      2       1  130465     -0.43863      0.66953
SKIL                  3  170075466  170114623     11       4  139182     -0.76826      0.77883
CLDN11                3  170136653  170578169      1       1  173005      -1.7708       0.9617
AC026316.4            3  170136656  170578169      2       1  173005      0.84783      0.19827
SLC7A14-AS1           3  170166427  170472997      1       1  173005    -0.035852       0.5143
SLC7A14               3  170177372  170303863      1       1  173005      0.44434       0.3284
AC026316.5            3  170409786  170453850      1       1  173005     -0.80503       0.7896
AC061708.1            3  170626646  170772762      1       1  173005      0.81583       0.2073
TNIK                  3  170779128  171178197      1       1   87924     -0.22935       0.5907
PLD1                  3  171318195  171528740     31      11  156040      0.61548      0.26912
TMEM212               3  171561139  171656505      7       4  170963       1.3196      0.09348
FNDC3B                3  171757418  172119455      2       1  139580       1.4608     0.072035
TNFSF10               3  172223298  172241297     15       9  157528    -0.050144         0.52
LINC02068             3  172278678  172313397      2       1  152377      0.79042      0.21464
NCEH1                 3  172348039  172429008     21      14  137533      -1.7337      0.95852
RNU6-547P             3  172420914  172421015      1       1  173005     -0.23578       0.5932
ECT2                  3  172468472  172539264      1       1   87924    -0.023815       0.5095
SNORA72               3  172489067  172489195     12       5  168506     -0.53324      0.70307
NLGN1                 3  173114074  174004434      2       1  130465      0.71983      0.23582
NLGN1-AS1             3  173628288  173638586      1       1  171173      0.23553       0.4069
NAALADL2              3  174156363  175523428      4       2  132933     -0.44643      0.67236
AC117453.1            3  177881796  178103267      5       3  146267      0.74789      0.22726
ZNF639                3  179040779  179053323      4       2  161566        2.215     0.013381
GNB4                  3  179116990  179169378     12       6  144290      0.74071      0.22943
MTHFD2P7              3  179182134  179183116      1       1  173005      0.25464       0.3995
USP13                 3  179370543  179507189     10       5  166614     -0.36587      0.64277
PEX5L                 3  179512746  179754841      1       1  173005     -0.78612       0.7841
PEX5L-AS2             3  179616017  179639683      3       2  146398      -1.2248      0.88968
AC092939.1            3  179689282  179734871      6       2  173005      0.80839      0.20943
AC134503.1            3  179918947  179919000      1       1  173005      -1.5787       0.9428
TTC14                 3  180319918  180335616      1       1  173005      -1.6606       0.9516
AC108734.4            3  180425377  180588793      4       2  153574      0.11037      0.45606
SOX2-OT               3  180707558  181554668      2       1  159007     0.055027      0.47806
RPL7AP25              3  181222863  181223667      1       1  173005      -1.0343       0.8495
AC125613.1            3  181251965  181418399     15      10  151292       0.5854      0.27914
LINC01994             3  182164758  182204152      4       2  160653      -1.5713      0.94194
LINC01995             3  182216052  182224912      2       1  173005     -0.17722      0.57033
AC021055.1            3  182305881  182335598      8       5  143421     -0.33468      0.63107
LINC02031             3  182362002  182373668      2       1  136111     -0.92604      0.82279
ATP11B                3  182511288  182639423      3       2  170553      0.34661      0.36444
LAMP3                 3  182840001  182881627     25      11  152430       1.4792     0.069539
MCF2L2                3  182895831  183146566      3       2  129488       1.0027      0.15801
KLHL6                 3  183205319  183273477     46      20  150356     -0.25672       0.6013
YEATS2                3  183415606  183530413      2       1  154458      0.38939      0.34849
MAP6D1                3  183533664  183543382      4       2  173005      -2.1269      0.98329
PARL                  3  183547173  183602721      2       1  173005    0.0025106        0.499
ABCC5                 3  183637722  183735803     11       5  146714     0.056515      0.47747
ABCC5-AS1             3  183724126  183729207      1       1  173005    0.0017546       0.4993
AP2M1                 3  183892477  183901879      1       1  123674       1.4931      0.06771
CAMK2N2               3  183977001  183979251      2       1  173005       0.9137      0.18044
AC107294.2            3  184430033  184457892      1       1  173005     -0.39425       0.6533
AC107294.3            3  184459725  184460250      1       1  124139       1.2708       0.1019
VPS8                  3  184529931  184770402     20      12  154712     -0.44248      0.67093
EHHADH-AS1            3  184880659  184909743      4       2  158135       1.1124      0.13298
MAP3K13               3  185000729  185206885      2       1  173005       1.0305      0.15139
IGF2BP2               3  185361527  185542844      1       1  173005      0.19193       0.4239
TRA2B                 3  185633694  185655924     24      12  149895      0.98601      0.16206
ETV5                  3  185764097  185828107      3       1  163092     -0.60045       0.7259
DGKG                  3  185823457  186080026      1       1  173005       1.6939      0.04514
AC068631.1            3  186297265  186490775     37      23  145648      0.78204      0.21709
AC112907.3            3  186499569  186501968      2       1   92860      0.26168      0.39678
LINC02043             3  186528669  186543310     12       8  143343    -0.038984      0.51555
ST6GAL1               3  186648274  186796341     17       9  159685       1.8563     0.031703
RTP1                  3  186915274  186919253      1       1  173005       2.0851      0.01853
MASP1                 3  186935942  187009810      2       1  107730     -0.93085      0.82403
AC007920.2            3  187009060  187015721     14       3  162314   -0.0037104      0.50148
RTP4                  3  187086120  187089864      4       2  144300      0.16038      0.43629
SST                   3  187386694  187388187      3       2  169166     -0.94798      0.82843
BCL6                  3  187439165  187463515      2       1  173005       1.1125      0.13296
AC072022.2            3  187461474  187463816      1       1  173005       1.3136      0.09449
AC068295.1            3  187650552  187664009      4       2  155256       1.6803     0.046449
AC022498.1            3  187824860  187865098     10       7  159636      0.16193      0.43568
TP63                  3  189349205  189615068      2       1  107730      -1.0205      0.84626
P3H2                  3  189674517  189840226     31      12  163022      0.54854      0.29166
CLDN1                 3  190023490  190040264      2       1  107730       1.2378       0.1079
CLDN16                3  190040330  190129932      2       1  134142     -0.10655      0.54243
IL1RAP                3  190231840  190375843     14       9  140405     -0.98796      0.83841
GMNC                  3  190570666  190610218      6       4  163677      0.45528      0.32445
CCDC50                3  191046866  191116459     18       9  161507      0.37907      0.35232
AC073365.1            3  191143282  191308886      1       1  107213   -0.0010027       0.5004
MB21D2                3  192514604  192635950      4       2  173005     -0.99132      0.83924
PLAAT1                3  192958914  192995527      3       2  159253       1.2938     0.097869
ATP13A5               3  192992579  193096632      6       3  171779       0.3517      0.36253
ATP13A4               3  193119866  193310900      4       2  173005      0.83604      0.20156
ATP13A4-AS1           3  193271002  193272877      3       2  163092      0.60006      0.27423
LINC02028             3  193723226  193788759      1       1  173005       1.1184       0.1317
HES1                  3  193853934  193856521     45      25  150991      0.66271      0.25376
LRRC15                3  194075976  194090472      9       3  156004    0.0022531       0.4991
ATP13A3               3  194123401  194219093      5       2  173005      0.32934      0.37095
LINC00884             3  194208183  194239008      1       1  135910     -0.20752       0.5822
TMEM44                3  194308402  194354418      1       1  173005     -0.85419       0.8035
FAM43A                3  194406622  194409762     41      20  160204     -0.59389      0.72371
XXYLT1                3  194789008  194991896      2       1  173005       1.5687      0.05836
XXYLT1-AS2            3  194868600  194873519      5       2  173005      0.30883      0.37872
ACAP2                 3  194995465  195163807      6       4  147475     0.033068      0.48681
AC069213.1            3  195270871  195277400      3       2  160640      0.21657      0.41427
APOD                  3  195295573  195311076     13       4  138247     -0.17406      0.56909
TNK2                  3  195590235  195638816      4       2  129684      -1.1251      0.86972
TFRC                  3  195754054  195809060     13       7  147068     -0.42256      0.66369
RNU7-18P              3  195799690  195799751     23      12  159922       -1.853      0.96806
ZDHHC19               3  195924320  195938308     37      18  157394      -1.2249      0.88969
SLC51A                3  195938358  195970049      2       1  173005       1.3825     0.083407
RNF168                3  196195654  196230639      4       2  165203        1.622     0.052406
AC092933.1            3  196254210  196255662      8       2  173005        2.634    0.0042195
WDR53                 3  196281056  196295545      1       1  173005      0.77591       0.2189
LINC01063             3  196358369  196359458      6       3  155683      -1.3768      0.91571
CEP19                 3  196433148  196439164      2       1  154458     -0.83846      0.79911
PAK2                  3  196466728  196559518      3       2  173005     -0.68634      0.75375
PIGZ                  3  196673214  196695931      2       1  173005      0.42017      0.33718
MELTF                 3  196715492  196756687     19      12  136335      0.70537      0.24029
DLG1                  3  196769431  197026171      2       1  107730      0.81722       0.2069
RUBCN                 3  197398264  197476598     16      10  135713      0.28127      0.38925
FYTTD1                3  197464050  197514467      2       1  149012      0.23872      0.40566
LRCH3                 3  197518097  197615307      1       1  125019      0.94629        0.172
ANKRD18DP             3  197780393  197807591      4       2  157164      -0.2783      0.60961
PIGG                  4     492989     533985      2       1  148700      0.15811      0.43718
ATP5ME                4     666225     668127      2       1  147532      -1.1117      0.86686
PCGF3                 4     699537     764428      2       1  173005     -0.50501      0.69322
CPLX1                 4     778745     819986      5       2  146895      0.97329      0.16521
GAK                   4     843064     926161     26      13  146284     -0.13689      0.55444
DGKQ                  4     952675     980683      3       1  173005     0.088364      0.46479
AC092535.4            4    1107427    1126765      5       2  170702     -0.53723      0.70445
SPON2                 4    1160720    1202750      5       3  157927     -0.11991      0.54772
CTBP1                 4    1205236    1243741      1       1  165650      0.86945       0.1923
MAEA                  4    1283639    1333935     10       6  134582       2.2354     0.012695
UVSSA                 4    1341054    1381837      6       2  147102      0.51498      0.30328
NKX1-1                4    1396720    1400119      2       1  101373      0.29213      0.38509
AC147067.2            4    1552011    1552299      2       1  173005       2.0943     0.018115
FAM53A                4    1619642    1686029      2       1  173005       2.5202    0.0058638
SLBP                  4    1694527    1714282      3       2  142193      0.91411      0.18033
FGFR3                 4    1795034    1810599      5       3  136031      0.52916      0.29835
NSD2                  4    1873151    1983934      1       1  124394      -1.4332       0.9241
C4orf48               4    2043689    2045697      2       1  173005     -0.57827      0.71846
NAT8L                 4    2061239    2070816      4       2  141421      0.18426       0.4269
POLN                  4    2073645    2243848      1       1  161489     -0.41683       0.6616
ZFYVE28               4    2271309    2420390     15       8  148065      0.40165      0.34397
CFAP99                4    2420701    2452087      2       1  173005       1.8689     0.030819
TNIP2                 4    2743375    2758103      4       2  135350      0.31096      0.37792
SH3BP2                4    2794750    2842825     27      14  156523      0.69265      0.24426
ADD1                  4    2845584    2931803      9       5  149046      0.66338      0.25354
HTT                   4    3076408    3245676      1       1  173005      0.78953       0.2149
AL590235.1            4    3546282    3550523      1       1   87924      0.85383       0.1966
ADRA2C                4    3768075    3770251      2       1  163570    -0.073655      0.52936
AC116562.3            4    4049938    4109310      5       2  129879      0.25806      0.39818
AC116562.1            4    4119652    4120011     15       7  139569    -0.093498      0.53725
NSG1                  4    4349867    4420785      2       1  168442    -0.086379      0.53442
RPS7P15               4    4508805    4509504      3       1  173005      0.42937      0.33383
MSX1                  4    4861393    4865663      8       4  144462     0.069694      0.47222
CYTL1                 4    5016313    5021199      3       1  170553      0.37357      0.35436
STK32B                4    5053169    5502725      1       1  143265      0.29552       0.3838
EVC                   4    5712924    5830772      3       2  173005     -0.59503      0.72409
CRMP1                 4    5749811    5894785     27      17  157647      0.67758      0.24902
JAKMIP1               4    6027926    6202318      9       5  141764       1.6044     0.054315
LINC02495             4    6202460    6241664      1       1   29740      -1.4044       0.9199
WFS1                  4    6271576    6304992      6       3  160577   -0.0045876      0.50183
AC116317.1            4    6294096    6310363      2       1  169328     -0.18641      0.57394
PPP2R2C               4    6322305    6565327     38      20  126684     0.093079      0.46292
AC106045.1            4    6765235    6769387      5       3  100834       0.1546      0.43857
KIAA0232              4    6783102    6885897      2       1  115595     -0.92762       0.8232
TBC1D14               4    6910969    7034845     23       9  156797      0.37972      0.35208
LINC02447             4    7095503    7105121      5       3  146895       1.8755     0.030359
SORCS2                4    7194265    7744554      7       3  173005       1.2129      0.11258
AFAP1                 4    7760441    7941653     25      13  157346       1.5389     0.061917
SH3TC1                4    8183799    8243530     30      13  151194      0.84503      0.19905
HTRA3                 4    8271492    8308838     57      36  149638     0.025299      0.48991
CPZ                   4    8594387    8621488     14       7  136043     -0.21187      0.58389
HMX1                  4    8847802    8873543      3       2  135910      -1.0457      0.85215
AC108519.1            4    9036245    9382995      4       1  150700      0.59386       0.2763
AC097493.3            4    9534048    9534266      2       1  116477      -1.2292       0.8905
AC097493.1            4    9555234    9555605      6       2  168634     0.048707      0.48058
SLC2A9                4    9772777   10056560     12       7  134171       1.0574      0.14515
AC005674.1            4   10008106   10011349      8       4  164131       2.2758     0.011428
WDR1                  4   10075963   10118573     18       6  156562        2.133     0.016461
CLNK                  4   10488019   10686489      2       1  134142     -0.19195      0.57611
AC006230.1            4   11428498   11469426     20       8  158651    -0.092724      0.53694
AC025539.1            4   11470874   11479820      3       2  173005      0.17608      0.43012
AC005699.1            4   11627338   11825530     48      24  162128       1.1754      0.11991
LINC01097             4   13527943   13535959      1       1  173005     -0.60738       0.7282
NKX3-2                4   13542454   13546674      1       1  173005      0.20164       0.4201
LINC01096             4   13547699   13549425     11       7  148638       -1.337      0.90939
BOD1L1                4   13570362   13629347      2       1  107730      0.33026       0.3706
AC006296.2            4   14384747   14410702      3       2  144645     0.047763      0.48095
C1QTNF7               4   15341442   15447790      1       1   87924       0.2165       0.4143
BST1                  4   15704573   15739936      2       1  115595     -0.81351      0.79204
CD38                  4   15779898   15854853      2       1  173005       2.2725      0.01153
FGFBP2                4   15961866   15970932      4       2  119097      -1.3369      0.90937
PROM1                 4   15964699   16086001      4       2  171166      0.44937      0.32658
AC108063.2            4   16115856   16119102      7       2  173005      0.25464       0.3995
TAPT1                 4   16162128   16229033      1       1  165650      0.91575       0.1799
LDB2                  4   16503164   16900432      1       1  173005     -0.54668       0.7077
QDPR                  4   17461884   17513857      3       2  143799      0.91042       0.1813
AC006160.2            4   17559515   17559668      1       1   42455       0.1421       0.4435
LAP3                  4   17578815   17609595      4       2  138776      0.30342      0.38079
AC006160.1            4   17587890   17616208      5       2  133518      0.23347       0.4077
AC024230.1            4   19457041   19940071      1       1  173005      -0.6274       0.7348
SLIT2                 4   20254883   20622184      1       1   42455     -0.25645       0.6012
KCNIP4                4   20730239   21950422      4       2  126251    -0.049177      0.51961
AC096719.1            4   21950638   22331953      1       1  173005       1.3228      0.09295
ADGRA3                4   22346694   22517677      1       1  165650      -1.1133       0.8672
PPARGC1A              4   23756664   23905712      1       1  173005      0.26995       0.3936
LINC02473             4   24661479   24673191      6       2  144645      0.18637      0.42608
LGI2                  4   25000469   25032501      3       2  164838      0.81691      0.20699
SEPSECS               4   25121627   25162204      1       1  173005     -0.30679       0.6205
SEPSECS-AS1           4   25162263   25203062      1       1  173005      0.67606       0.2495
ANAPC4                4   25378835   25420120      2       1  169328      -1.1316      0.87109
SLC34A2               4   25656923   25680370      1       1  124394      0.60587       0.2723
SEL1L3                4   25749055   25865382     10       4  162897     -0.97332       0.8348
SMIM20                4   25863452   25931435      1       1  173005     -0.10951       0.5436
LINC02357             4   26072376   26105880     29      16  153480      -0.1547      0.56147
CCKAR                 4   26483022   26492084      6       2  164210     -0.60604      0.72776
AC093791.2            4   28227591   28289919      3       2  173005    -0.098073      0.53906
AC097480.1            4   28437071   28601897      2       1  173005     -0.30521       0.6199
RN7SL101P             4   28712820   28713094      3       2  165328       1.4525     0.073181
AC098595.1            4   30720427   30723592      1       1  173005      0.85998       0.1949
PCDH7                 4   30722037   31148422      1       1  172540      -2.3615       0.9909
LINC02497             4   31172766   31213297      1       1  158857      0.34486       0.3651
ARAP2                 4   35949843   36246131      4       2  140368     -0.29726      0.61687
AC104078.1            4   36245738   36275842      1       1  131749     -0.69349        0.756
DTHD1                 4   36283244   36347378      4       2  140622        2.264     0.011786
AC104078.2            4   36312812   36394032      5       3  155989       1.5536     0.060142
C4orf19               4   37455563   37625117      2       1  173005     -0.32054      0.62572
RELL1                 4   37592422   37687998     24      15  140359      0.31236      0.37738
PGM2                  4   37828255   37864558     32      16  154814      0.39554      0.34622
TBC1D1                4   37892708   38140796      5       3  173005      0.63562      0.26251
LINC01258             4   38422283   38524801      2       1  107730     -0.95369      0.82988
LINC02278             4   38565624   38573643     16       9  155365       1.7299     0.041824
KLF3                  4   38665817   38702663     35      17  159350      0.69938      0.24216
TLR1                  4   38792298   38858438      2       1  173005      0.47868      0.31608
TMEM156               4   38968365   39034542     58      21  143404      0.71336      0.23781
KLHL5                 4   39046659   39128477     24       9  166802     -0.79072      0.78545
AC079921.1            4   39068594   39183878      9       4  162381     -0.13763      0.55473
RFC1                  4   39289076   39367995      1       1  173005      0.78441       0.2164
RPL9                  4   39455744   39460568      2       1  130465     -0.96197      0.83197
UGDH                  4   39500375   39529931      3       2  163092     -0.29785      0.61709
UBE2K                 4   39699664   39784412      2       1  101373       1.2184      0.11154
PDS5A                 4   39824483   39979576      3       2  170553     -0.38989      0.65169
N4BP2                 4   40058446   40159872      1       1   29740     -0.26449       0.6043
RHOH                  4   40192673   40248587      1       1  173005      -1.3076       0.9045
LINC02265             4   40318502   40332436      2       1  173005      0.96898      0.16628
RBM47                 4   40425272   40632892      4       2  173005       1.5768     0.057426
AC098869.1            4   40493750   40494041     67      40  156790        1.289     0.098701
NSUN7                 4   40751914   40812002      2       1  148700     0.077632      0.46906
APBB2                 4   40812044   41218731     31      13  160385      -1.7361      0.95873
UCHL1-AS1             4   41222091   41258744      5       2  173005     -0.99914      0.84114
UCHL1                 4   41258430   41270472      5       2  155989     -0.95422      0.83001
LIMCH1                4   41361624   41702061     16      10  151520      0.85284      0.19687
AC108050.1            4   41610329   41614428      1       1   42455       1.7206      0.04266
PHOX2B                4   41746099   41750987      1       1  173005      0.87532       0.1907
BEND4                 4   42112955   42154895      1       1  173005       3.9643     3.68e-05
AC111006.1            4   42153045   42270127      2       1  147864      -1.5569      0.94026
AC114757.1            4   43974938   44027533      6       2  173005     -0.44695      0.67255
LINC02475             4   44018878   44024080      2       1  173005     -0.81556      0.79262
KCTD8                 4   44175926   44450824      2       1  101373     0.017956      0.49284
GABRG1                4   46037786   46126098      4       2  158135      0.54624      0.29245
AC095060.1            4   46392272   46512211      1       1  173005     -0.89161       0.8137
GABRA4                4   46920917   46996424      2       1  173005     -0.67564      0.75037
COMMD8                4   47452885   47465736      2       1  173005     -0.27204       0.6072
ATP10D                4   47487305   47595503      1       1  105313       -2.929       0.9983
AC107398.2            4   47558748   47562276      2       1  173005      -1.7896      0.96324
CORIN                 4   47596015   47840123      3       2  172920       2.4958    0.0062833
CNGA1                 4   47937994   48018689      9       4  168421       0.8096      0.20909
TXK                   4   48068410   48136273      2       1  131995       2.2315     0.012825
TEC                   4   48137800   48271881     21       8  169624        2.602    0.0046344
AC097522.2            4   53118986   53417740      1       1  173005     -0.58373       0.7203
SCFD2                 4   53739149   54232242     12       7  144756    -0.079211      0.53157
RPL21P44              4   54852754   54853225      2       1  148700     -0.64977      0.74208
PDGFRA                4   55095264   55164414      3       2  147096      0.16747       0.4335
LINC02283             4   55199059   55222121      9       2  164369      0.68137      0.24782
AC111194.2            4   55919227   55958701     71      31  147019     -0.41526      0.66102
KDR                   4   55944644   55991756      5       3  157409     -0.49217       0.6887
SRD5A3                4   56212276   56239263      6       4  164903    -0.096265      0.53835
SRD5A3-AS1            4   56230138   56262014      1       1   95279      0.54174        0.294
TMEM165               4   56262124   56319564      3       2  102972      -1.2805      0.89982
NMU                   4   56461396   56502865      7       4  162485     -0.10663      0.54246
EXOC1L                4   56685956   56703655      2       1  173005      -1.6257      0.94799
AC110611.2            4   56804319   56814162      6       4  173005      0.72686      0.23366
CRACD                 4   57036361   57194791      2       1  173005       1.6313     0.051413
AC068620.3            4   57276682   57297714      4       2  173005      0.88572      0.18788
ARL9                  4   57371509   57390614      4       2  169328       1.5856     0.056414
THEGL                 4   57396775   57469673      4       1  171166    -0.088649      0.53532
HOPX                  4   57514155   57548065     14       9  156285       1.8311     0.033542
SPINK2                4   57676026   57687908      8       2  145144      0.72177      0.23522
REST                  4   57774075   57802010      5       2  170063    -0.062246      0.52482
IGFBP7                4   57896939   57976551     43      20  163701      0.06175      0.47538
IGFBP7-AS1            4   57975928   58071676      1       1  173005     0.068736       0.4726
AC105390.1            4   58020743   58022618      3       2  138886     -0.25535      0.60077
LINC02380             4   58292038   58332152      1       1  173005      -1.3898       0.9177
AC108517.2            4   60016642   60046132      4       2  149896     -0.56518      0.71402
AC092596.1            4   60769122   60786388      3       2  165650      0.46247      0.32187
ADGRL3                4   62066976   62944053      2       1  173005      0.84397      0.19934
AC104689.2            4   65702079   65749634      1       1  165650       2.0725      0.01911
LINC02232             4   65779999   65870218      2       1  167247    -0.058842      0.52346
EPHA5                 4   66185281   66536213      5       2  155989      0.71374      0.23769
EPHA5-AS1             4   66535679   66563747      4       2  153574     -0.25863      0.60204
AC116049.1            4   66864564   67015730      2       1  173005      0.87845      0.18985
STAP1                 4   68424446   68473055      1       1  173005      0.29604       0.3836
UBA6                  4   68478370   68566897      1       1  173005      0.48511       0.3138
AC098799.1            4   69158845   69160082      1       1  173005      0.68269       0.2474
UGT2B7                4   69917081   69978705      3       1  173005     -0.29753      0.61697
SULT1B1               4   70586880   70653679      6       3  171779        -0.93      0.82382
SULT1D1P              4   70657590   70679606      3       2  169166     -0.22943      0.59073
AC108941.2            4   70676498   70713504     11       5  146305      -0.5283      0.70135
AMBN                  4   71457973   71473005      1       1  173005      0.16467       0.4346
MOB1B                 4   71768043   71888166      1       1  161489     -0.48173        0.685
DCK                   4   71858255   71896631      2       1  161234     -0.73178      0.76785
SLC4A4                4   72053003   72437804      2       1  154458    -0.090891      0.53621
LDHAL6EP              4   72300122   72303641      1       1  173005       0.8779         0.19
ADAMTS3               4   73146686   73434516      3       1  173005      0.76212        0.223
CXCL8                 4   74606223   74609433     20       8  141573     -0.97013      0.83401
CXCL1                 4   74735110   74736959      7       4  161002       1.8935     0.029145
CXCL3                 4   74902306   74904524      1       1  173005       1.1906       0.1169
CXCL2                 4   74962752   74965010      5       3  149171    -0.015782       0.5063
MTHFD2L               4   74979891   75168816      1       1  113572     -0.53045       0.7021
EREG                  4   75230860   75254468      1       1  143265      -1.2281       0.8903
BTC                   4   75669969   75719896      4       2  165570      0.81653       0.2071
PARM1                 4   75858305   75975325      1       1  173005      -0.6486       0.7417
AC110760.1            4   75919087   75960034      3       1  144645       -1.091      0.86237
AC110615.1            4   76744119   76759542      1       1  173005     -0.49189       0.6886
NAAA                  4   76831809   76862204     22      12  160186      0.66033      0.25452
ART3                  4   76932337   77033955      4       2  173005    0.0088261      0.49648
AC110795.1            4   77069714   77121819      2       1  158135       -1.109      0.86629
STBD1                 4   77172886   77232752      3       2  118528     -0.78516      0.78382
CCDC158               4   77234154   77343021      4       2  150670     -0.85798      0.80455
SHROOM3               4   77356253   77704406      1       1  106426      -1.0692       0.8575
AC112249.1            4   77430437   77430872      2       1  169328     -0.94529      0.82774
SHROOM3-AS1           4   77630006   77723579      1       1  173005     0.055927       0.4777
SEPTIN11              4   77870856   77961537      8       5  162647       2.0416     0.020595
CNOT6L                4   78634541   78740769      9       5  161914       0.1174      0.45327
FRAS1                 4   78978724   79465423      2       1  173005      0.51173      0.30442
ANXA3                 4   79472673   79531597     15       6  167782      -1.2564      0.89552
LINC01094             4   79567057   79603853     17       6  161020     -0.85451      0.80359
BMP2K                 4   79697496   79837526      1       1  135910     -0.10169       0.5405
PAQR3                 4   79808281   79860592     28       9  146830     -0.83778      0.79892
LINC01088             4   79892902   80229952      2       1  173005      0.94621      0.17202
PRDM8                 4   81105033   81125483     11       6  143209     -0.35893      0.64018
FGF5                  4   81187753   81257834      1       1  173005      0.06547       0.4739
BMP3                  4   81952119   81978685      5       3  131893      0.56367      0.28649
PRKG2                 4   82009837   82136218      1       1   42455     -0.80399       0.7893
PRKG2-AS1             4   82086094   82114549     12       4  170527       2.1157     0.017184
RASGEF1B              4   82347547   82965397      1       1  173005      0.73984       0.2297
TMEM150C              4   83404323   83483510      1       1  173005      0.86034       0.1948
SCD5                  4   83550692   83720010     22      13  144886     -0.72098      0.76454
RNU6-615P             4   83924565   83924670      2       1  173005         1.37     0.085348
PLAC8                 4   84011201   84058228      4       2  145184     -0.85183      0.80285
AC114781.2            4   84154665   84168366      3       1  169166     -0.33663       0.6318
HPSE                  4   84213614   84256306     40      19  159343     -0.36542       0.6426
AC104063.1            4   85292546   85301342      3       1  109662     -0.49456      0.68955
CDS1                  4   85504132   85572491      1       1  143265      0.17052       0.4323
ARHGAP24              4   86396267   86923823      6       3  132110      0.44081      0.32967
AC093827.2            4   87797491   87797805      2       1  167247       0.9096      0.18152
AC093827.5            4   87809293   87857330      2       1  173005       1.0176      0.15443
AFF1                  4   87856154   88062206     19       8  161125      0.58922      0.27786
HSD17B11              4   88257762   88312538      3       1  173005      0.42942      0.33381
SPARCL1               4   88394487   88452213      5       2  157460       0.9391      0.17384
HSP90AB3P             4   88812995   88815167      1       1  173005      -2.5364       0.9944
AC131944.1            4   88895537   88929629      1       1   29740     -0.78441       0.7836
SPP1                  4   88896819   88904562     72      23  161493       1.5538     0.060111
ABCG2                 4   89011416   89152474     22      11  159394       2.1795     0.014649
HERC6                 4   89299891   89364263      3       2  170553     -0.82103      0.79419
HERC5                 4   89378268   89427314      4       2  151735     -0.27469      0.60822
PIGY-DT               4   89444977   89446134      2       1  129104      -1.5261       0.9365
FAM13A                4   89647106   90032549      3       2  134731     -0.24901      0.59832
AC104785.1            4   90040435   90041022      1       1  173005     -0.44074       0.6703
GPRIN3                4   90157537   90229161      1       1  173005       -0.611       0.7294
SNCA                  4   90645250   90759466      2       1  143265      0.87551      0.19065
SNCA-AS1              4   90757559   90763129      5       2  140962     -0.11798      0.54696
MMRN1                 4   90800683   90875780     14       8  132181       0.3495      0.36336
CCSER1                4   91048686   92523064      3       1  153178     -0.81144      0.79144
AC004054.1            4   92029174   92033941      3       1  173005     -0.73853       0.7699
AC110774.1            4   92524426   92526443      2       1  136022    0.0082158      0.49672
AC112695.1            4   93218402   93225329      1       1  173005      0.11127       0.4557
GRID2                 4   93225550   94695707      1       1  173005      -1.8508       0.9679
ATOH1                 4   94750042   94751221      5       3  173005      -1.3744      0.91534
SMARCAD1              4   95128762   95212443      1       1  173005      0.69796       0.2426
AC109925.2            4   95236637   95264192     12       5  166768     -0.38464      0.64975
PDLIM5                4   95373037   95589377      1       1  143265     -0.78305       0.7832
BMPR1B                4   95679119   96079599      6       3  164060     -0.74181       0.7709
UNC5C                 4   96083655   96470357     11       7  153397    -0.099024      0.53944
STPG2                 4   98105244   99064391      1       1  173005       -1.706        0.956
STPG2-AS1             4   98288077   98411315      1       1  173005       1.5316      0.06281
TSPAN5                4   99391518   99579780     23      13  140294        1.153      0.12446
AC019131.1            4   99850048   99916145      3       1  147096       0.2208      0.41262
ADH5                  4   99992132  100009952      4       2  173005     -0.45172      0.67426
ADH1B                 4  100226121  100242558      3       2  173005     -0.56438      0.71375
MTTP                  4  100484918  100545156      1       1  173005      0.58403       0.2796
AC083902.1            4  100515956  100547070      3       2  173005       1.1475      0.12559
C4orf54               4  100557686  100575805      1       1  173005       2.9962     0.001367
DAPP1                 4  100737990  100791311     10       6  141411      0.24671      0.40257
LAMTOR3               4  100799493  100815647      2       1  169328      0.42908      0.33393
DNAJB14               4  100817405  100867883      1       1  173005     -0.83131       0.7971
AC097460.1            4  100911894  100912634      1       1   42455      0.59596       0.2756
DDIT4L                4  101107027  101111939      3       2  173005      0.71576      0.23707
EMCN                  4  101316498  101801283     19      10  160223       1.5441     0.061285
PPP3CA                4  101944566  102269435      1       1  173005       2.3849     0.008541
SLC39A8               4  103172198  103352415     14       8  146981      -1.5783      0.94275
AF213884.3            4  103421998  103422476      3       1  169166     -0.97085      0.83419
NFKB1                 4  103422486  103538459     26      11  139416     -0.80243      0.78885
UBE2D3                4  103715540  103790053      3       2  144645      0.23273      0.40799
BDH2                  4  104000592  104021040      1       1  173005       1.5991       0.0549
TACR3                 4  104507188  104640973      2       1  158008     -0.28766       0.6132
CXXC4                 4  105389469  105416058      1       1  145830      -1.2913       0.9017
TET2                  4  106067032  106200973      2       1  101373       2.5964    0.0047107
PPA2                  4  106290234  106395238      3       2  173005     -0.44941      0.67343
AC004066.1            4  106461347  106473512      3       2  156803       1.5826     0.056756
GIMD1                 4  107279555  107288359      3       2   79282       1.0779      0.14054
AC092445.1            4  107446558  107859797      1       1  173005     -0.77152       0.7798
DKK2                  4  107842959  108204963      3       2  152766     -0.94712      0.82821
