,pValue,logFC 
BCAR1.3,0,0.352353808
RP11-90J7.2,0,0.352351729
REXO4,0,0.352348846
TRAJ23,0,0.352347783
SMARCC2,0,0.35233881
RP11-380I10.4,0,0.35233306
CNTNAP3B,0,0.352332866
RP11-626G11.4,0,0.352330615
MIR3150B,0,0.352326041
CARNS1,0,0.352324482
ASPDH,0,0.352317199
CTB-66B24.1,0,0.352307883
TMEM191C,0,0.352307281
VTA1,0,0.352302882
NIPAL1,0,0.352300402
CTD-2313J17.1,0,0.352300335
SYNGAP1,0,0.352298134
POP5,0,0.352297854
AC074011.2,0,0.35229466
MMP23B,0,0.352293543
AC004069.2,0,0.352279377
SYDE1.1,0,0.352277738
ZBED3-AS1,0,0.352271974
C8orf41.1,0,0.352262568
CDK2AP1.1,0,0.352262406
LTBP4.1,0,0.352251263
CACNA1B,0,0.352250966
ALKBH8,0,0.352250068
CTNNBL1,0,0.352239314
NKX6-1.1,0,0.35223634
RP11-513O17.2,0,0.352235355
UPRT,0,0.352233669
ZNF438.1,0,0.352228376
ERF.1,0,0.352206884
EEF1E1,0,0.352205493
CCDC149,0,0.352194883
C14orf180,0,0.352191905
RHPN2,0,0.352190998
PBX3.1,0,0.352188469
KIRREL2,0,0.352187073
AP000260.4,0,0.352184945
AC010761.10,0,0.352177008
KCNK1,0,0.352174829
ZNF630,0,0.352172248
PGM5P4,0,0.352160656
CUL2,0,0.352155996
RP13-30A9.1,0,0.352152394
MPI,0,0.352152205
AC013791.1,0,0.352151519
RN7SL774P,0,0.352146947
LIMD1,0,0.352143391
AP001432.14.1,0,0.352140594
THUMPD1,0,0.352136973
ZKSCAN1,0,0.352132721
RN7SKP288,0,0.352130712
STAT5B,0,0.352113254
ASMTL,0,0.352111883
RSPO2,0,0.352110566
FBXO22,0,0.352096833
RP11-136O12.2,0,0.352096161
TMEM184A,0,0.352090326
PTHLH,0,0.352085446
RP11-359B12.2,0,0.352083691
ZNF589.1,0,0.352078579
CTC-525D6.5,0,0.352065393
D2HGDH,0,0.352062193
CHST15.1,0,0.352048101
TXNRD3,0,0.352039593
YLPM1,0,0.352034704
SYNJ2,0,0.352030145
SVIP,0,0.352027215
RP11-36N20.2,0,0.352023865
RNF166,0,0.352018507
AC067960.1,0,0.352015871
USP9X,0,0.352009178
COX11,0,0.352004978
AIFM1,0,0.352004891
TMSB15B,0,0.351998366
RP11-521O16.1,0,0.351971681
FBXO7,0,0.351969381
ITM2C.1,0,0.351965616
ZNF99,0,0.351963768
LRRC71,0,0.351947676
RXRG,0,0.351941778
KIF3B,0,0.351939144
RP11-156L14.1,0,0.351937857
RBM28,0,0.351935082
BCAP29,0,0.351923476
ASPSCR1,0,0.351921759
RF00019.83,0,0.351917276
RP11-314N13.10,0,0.351915008
PCBP3.3,0,0.351914682
RNF130,0,0.351913074
PSMA4,0,0.35190042
FGF12.1,0,0.351899378
RP11-16C18.3,0,0.351897553
GSE1.1,0,0.351891937
SNHG11,0,0.351885992
ZNF585A,0,0.351880135
ROBO1,0,0.351876613
PIP5K1B,0,0.351870952
PEPD,0,0.351866906
AP000318.2,0,0.351860392
RP11-278H7.3.1,0,0.351851839
RP11-483P21.2,0,0.351840366
ABHD5,0,0.351832492
MAPK12,0,0.35183241
RPL14,0,0.351831852
RP11-346A9.1,0,0.351824266
NSMAF,0,0.351818568
RP11-83B20.7,0,0.35181641
AP001476.2,0,0.351809742
SETBP1,0,0.351805346
AP2A2,0,0.351804806
GLP1R,0,0.351798796
RP11-66N11.8,0,0.351792874
ZNF185,0,0.351786922
P3H3,0,0.351783604
FGFRL1.2,0,0.351779123
SLC13A3,0,0.351773001
SH3GLB1.1,0,0.351769223
TAF3,0,0.351765602
DPH6,0,0.351764813
SPATS1.1,0,0.351759428
ZNF398.1,0,0.351759001
AGPAT2,0,0.351751181
RSPH6A,0,0.351750039
RP1-309F20.4,0,0.351747363
CSDE1,0,0.351742542
ALG1,0,0.351737386
PTPRH,0,0.351728591
ADPRHL1,0,0.35172745
THSD1,0,0.351722937
NAB1,0,0.351722511
EIF3B,0,0.351716545
SLITRK3,0,0.351716179
AF238380.5,0,0.351714413
RPL10,0,0.351709765
RP4-737E23.2,0,0.3516996
RP4-676L2.1,0,0.351694326
WNT11,0,0.351693627
POU4F1,0,0.351692018
RP11-342I1.2,0,0.351687287
COL23A1,0,0.351686839
FOXP1.3,0,0.351682907
SCGN,0,0.351673506
ZFP3,0,0.351671151
RP11-525K18.2,0,0.35166916
SLC4A2.2,0,0.351667528
AF165176.2,0,0.351666648
C12orf43,0,0.3516655
KIAA0930.2,0,0.351663177
TMEM242,0,0.351658663
PI4KAP1,0,0.351656095
RAP1GAP2.1,0,0.351646508
ST8SIA5,0,0.351643456
RP11-469H8.6,0,0.351637207
RF02164,0,0.351628763
USE1,0,0.351627161
AC000035.3,0,0.351623331
ABCA3,0,0.351622067
CACNA1E.1,0,0.351620742
ESRRG.3,0,0.351615277
DDX3X.1,0,0.351614579
SHCBP1L,0,0.351587159
RF02271.3,0,0.351584089
MIR942,0,0.351583598
RBAK,0,0.351574981
HAGLR,0,0.35157406
AC003090.1.1,0,0.351568202
PCDHGA5,0,0.351567005
SLC36A4,0,0.351565838
AC009502.4,0,0.351563967
PDPN.1,0,0.351560463
RP11-770J1.7,0,0.351560068
RP11-408A13.2,0,0.351552914
CNTRL.1,0,0.35154881
MIR802,0,0.351543455
LOXL1,0,0.351542015
FREM2,0,0.351530042
PTPRZ1,0,0.351521863
TMEM129,0,0.351520295
C10orf142,0,0.351514174
CLEC10A,0,0.351507275
KDM2B,0,0.351504364
RP11-773D16.1,0,0.351497547
MRPS35,0,0.351490817
TRGV5,0,0.351490565
RP11-124K4.1.1,0,0.351487269
EFNA3,0,0.351481494
NCAN,0,0.351476159
CREBZF.2,0,0.35146511
ADCY8.2,0,0.351463071
RP5-1171I10.4,0,0.351461837
FAM160B2,0,0.351458864
AC145124.2,0,0.351451114
AC005301.5,0,0.351444066
RP11-497G19.2,0,0.351437852
RNU6-8,0,0.351436605
RP11-528D24.3,0,0.351433183
RP11-554D14.6.1,0,0.351429052
CSK,0,0.351421645
RP11-837J7.3,0,0.351417674
SSNA1,0,0.351416699
DNAJC6,0,0.351411839
CEBPB,0,0.351410808
AVPR1A,0,0.351408081
PPP3CC.1,0,0.351397349
KLK8,0,0.351390533
EDN1,0,0.351389686
FHL2,0,0.3513886
ZNF678,0,0.351377667
ARMC7,0,0.351376779
WASHC2A,0,0.3513753
PSTPIP1,0,0.351369568
ALG9,0,0.351369067
RP11-21B23.3.1,0,0.35136871
POLA2,0,0.351364775
CHN1.2,0,0.351363365
CTA-243E7.2,0,0.35136334
ZNF90,0,0.351359653
IFITM5,0,0.351358311
MAT2B,0,0.351357846
FAT4,0,0.351354715
CTD-2267D19.2,0,0.351351846
RP13-297E16.5,0,0.351348832
MIR770,0,0.351345665
RP1-71L16.3,0,0.351345251
CERS4,0,0.351344415
CTD-2026D20.3,0,0.351339515
CTD-3075F15.1,0,0.351337586
WIPF3.1,0,0.351337558
PTPN11,0,0.351335623
GLRA3,0,0.351334212
KIFAP3,0,0.351324446
RMST,0,0.351320021
AKT1.1,0,0.351308536
GEMIN7,0,0.351307426
AC007248.6,0,0.351301464
AKR1CL1,0,0.351292971
CTB-49A3.5,0,0.351289717
MAEL,0,0.35128928
DCAF12L1,0,0.351286657
SECISBP2L,0,0.351276983
CHAD,0,0.351275785
OTP,0,0.351270156
EVX1,0,0.351266489
CC2D1B,0,0.351257186
NUP50,0,0.351244882
ATP1B3.1,0,0.351232757
NONO,0,0.351226024
SORBS2.2,0,0.351221126
RP13-104F24.2,0,0.351197022
LZTFL1.1,0,0.351196976
S100A4,0,0.351191781
TRPV4.1,0,0.351189581
AHDC1,0,0.351188742
ZBED8,0,0.351185923
TBC1D32,0,0.351184218
AC008592.3,0,0.351175044
CPT1B,0,0.35116274
RAB12,0,0.351154041
TRIM67.1,0,0.351143607
BECN1,0,0.351140847
TNPO1,0,0.351137785
CDK2AP1,0,0.351119183
ZSCAN25,0,0.351116245
TM7SF2,0,0.351104318
OSBPL10,0,0.351104048
VPS13D,0,0.351095931
RP11-903H12.3,0,0.351090259
RP11-277J6.2.1,0,0.351087773
PRKAR1B,0,0.351086121
ZC3HAV1,0,0.351085169
AC005624.2.1,0,0.351071991
NUMBL,0,0.351064391
UBE2D1,0,0.351063617
ARMCX2.1,0,0.351056882
AP3B1,0,0.351055386
ROBO2.2,0,0.351042563
AC007566.11,0,0.351028042
RP11-501M7.1,0,0.351026725
PLEKHA2.1,0,0.351026529
RN7SL153P,0,0.351015009
HTR3A,0,0.35101139
RP11-151A10.3,0,0.351003385
RP11-646I6.3,0,0.350999653
HCK,0,0.350999603
MCPH1,0,0.350991005
S100A8,0,0.350990619
ADCY4,0,0.350990266
CHST8,0,0.350989013
HADHA.1,0,0.350983689
ZFP14,0,0.350981442
MYOM3,0,0.350970635
CTD-2561B21.4,0,0.350968704
DYSF,0,0.350963531
RP11-542B15.1,0,0.350959161
MAK,0,0.350955791
RP11-64B16.3,0,0.350952909
BACH1.1,0,0.350950604
IFT22,0,0.350949905
RP11-630C16.2,0,0.350948742
GPR153,0,0.350929456
AC011515.2,0,0.350927079
ARPP21,0,0.350924465
SEPT3.1,0,0.350918706
RGS3.3,0,0.350914615
ITPKA,0,0.350898491
AC073316.1,0,0.350884066
RP11-474N8.9,0,0.350876642
FCHO1.2,0,0.350869603
EYA1.2,0,0.350869465
ELAVL4.1,0,0.350867054
RP11-405F3.5,0,0.350865353
RABL6,0,0.350861703
FAM96A,0,0.350852147
RP11-227G15.3,0,0.350843834
APOLD1.1,0,0.350832273
TAL1,0,0.350817227
SCN3B,0,0.350816364
RP11-208G20.3,0,0.35080998
USP2,0,0.350809096
SATB1.2,0,0.350790636
FMR1,0,0.350785355
ZNF567,0,0.350783862
RP11-229P13.22,0,0.350772941
RP11-347I19.8,0,0.350759103
ZNF354C,0,0.350757893
LINC00092,0,0.350756249
PITHD1,0,0.350747086
PATZ1,0,0.350743813
PAX4,0,0.350736914
PAX9,0,0.350725598
RP11-399K21.10,0,0.3507236
MBTPS2,0,0.350721377
RGAG1.1,0,0.350718865
ATXN2-AS,0,0.350713205
CYTH1.1,0,0.350711789
RP6-170F5.2,0,0.350699502
SPAG17,0,0.350696058
TMEM177.1,0,0.350690482
RP11-23J9.5,0,0.350689014
RGS3.5,0,0.350686742
SLCO5A1,0,0.350686615
MRPL28,0,0.350685701
LACE1,0,0.350684043
ESRRB.1,0,0.350682567
MMP2,0,0.350680657
AC003005.2,0,0.350679182
FLT1.1,0,0.350669357
WI2-87327B8.2,0,0.350666858
SIRT3,0,0.350655954
CBFA2T2.1,0,0.350655212
CORO2A,0,0.350650756
NOS1AP,0,0.350649765
BEND4,0,0.350644553
FAM200A,0,0.350635333
ALG13,0,0.350623979
E2F8,0,0.350622442
ASPA,0,0.350618768
GDF15,0,0.350615526
AC007405.6,0,0.350612743
PIP4K2A,0,0.350609202
CLCC1,0,0.350591869
RP11-96D1.6,0,0.350589732
SLC25A14,0,0.350587749
SNX21,0,0.350583036
AC005235.1.1,0,0.350580339
IL1RAP,0,0.35057474
PLEKHM1.1,0,0.350569603
RP1-309F20.3,0,0.350565491
AC010907.2,0,0.350562179
SHISA2,0,0.350560133
SLC25A10,0,0.350558026
PNO1,0,0.350555819
NAA16,0,0.350554573
TERF2IP.1,0,0.350547424
FAM155A,0,0.350538588
RSL1D1,0,0.35053432
ADAMTS9,0,0.35051091
MIR6815,0,0.350507423
EME2,0,0.350503976
MAP7D3,0,0.350494022
RP11-217B7.2,0,0.350491976
ADAMTS2,0,0.350490122
B4GALNT3,0,0.350488474
SGSM2,0,0.350484785
IPO4,0,0.350471518
RP5-1177M21.1,0,0.350467071
RP11-98J9.2,0,0.350454303
SLC25A51,0,0.350452765
ANKRD29,0,0.350451272
ZNF354B,0,0.350449061
CDC16,0,0.350444218
RP11-613D13.5,0,0.35043503
KLF11.1,0,0.35043444
RP1-40E16.2,0,0.350430965
DNAJB2,0,0.350424835
TLR1.1,0,0.350416249
KB-1440D3.15,0,0.350411105
XXyac-YR21IF11.1,0,0.350397012
RP11-55J15.1,0,0.350395438
KBTBD12,0,0.350393143
RP11-654A16.3,0,0.350392338
ZNF542,0,0.350378523
RP11-305O6.4,0,0.350372461
AC123886.2,0,0.350368056
RNU6-601P,0,0.350365379
RP13-890H12.2,0,0.350365135
ADAMTS10.1,0,0.350351775
HTR1B,0,0.350347606
SUGT1P,0,0.350341032
DUSP27,0,0.350335898
ZNF696,0,0.350332165
CTD-2308B18.2,0,0.350330324
RP11-87F15.2,0,0.350326882
LIMA1.2,0,0.350325609
SLC35B3,0,0.35032089
RRP1B,0,0.350318691
RP13-554M15.7,0,0.350318077
HDAC10,0,0.350312211
IL18R1,0,0.350311725
LIMK2,0,0.350291367
PALM,0,0.350286139
CACNA2D1,0,0.350284905
TELO2,0,0.350282012
RP5-1139I1.1,0,0.350279285
MGLL,0,0.350274571
MIR548F2,0,0.350264346
TBC1D9B.1,0,0.350255058
GPC3,0,0.35024519
QRFP,0,0.350238246
RP11-483H20.4,0,0.350238199
FAM208B,0,0.350234243
HLA-L,0,0.350227548
CTC-232P5.3,0,0.350217569
RP11-67C2.2,0,0.350213752
LRRC46,0,0.350206378
RP11-112L6.4,0,0.3501983
LY6E,0,0.35019719
AIDA,0,0.350194368
ADGRL3.1,0,0.350187336
FBLIM1,0,0.350186435
FKBP4.1,0,0.350185444
KTN1-AS1,0,0.350175544
FOXF1,0,0.350174718
SUMF1,0,0.350168759
ABCG1.2,0,0.350163602
CTD-2024P10.1,0,0.350159014
CAAP1,0,0.350151874
TMEM155,0,0.350144202
TECPR2,0,0.350139854
S100A13,0,0.350139132
TMEM220-AS1,0,0.350138801
GREB1L.1,0,0.3501301
FAM107B.4,0,0.350119385
AC079154.1,0,0.350090141
ARHGEF39.1,0,0.350089611
RP11-867G23.10,0,0.350086943
ZNF677,0,0.350079533
PLIN3,0,0.350071466
CCNY,0,0.350065043
NPBWR2,0,0.350064468
WNK4,0,0.350053548
MIR3185,0,0.350051805
POC1B-GALNT4,0,0.350047345
SERPINH1,0,0.350047265
MEF2A,0,0.350044273
PRPSAP2.2,0,0.350035423
HIST1H2BI,0,0.350033801
AC129929.5.1,0,0.350026241
RP4-794H19.1,0,0.350025079
XXbac-B444P24.8,0,0.350023419
MIR4659A,0,0.350017344
TTPAL,0,0.350013634
GPR3,0,0.350007344
RP4-655J12.4.1,0,0.349999042
MLLT3.2,0,0.349996856
FAM195B,0,0.349989348
CCT5,0,0.349979546
KB-1043D8.6,0,0.349978044
SAMD14,0,0.349965494
PIH1D2,0,0.349963449
PSD.1,0,0.349948776
OSCP1.1,0,0.349948755
RHOG.2,0,0.349948541
AC093734.11,0,0.349947322
EXOC2,0,0.34993602
CCDC167,0,0.349929752
SOX7,0,0.34992323
PLXNA4.1,0,0.349918754
ATAD3A,0,0.349918478
RBM20,0,0.349918033
CTC-338M12.4,0,0.349917302
RP11-175P19.3,0,0.349915258
MTG2,0,0.349912167
ABCD2,0,0.34991177
PKIG,0,0.349909825
GYG2.1,0,0.349898385
STK33,0,0.349892105
KTN1,0,0.349877374
RP11-553A21.3,0,0.349877252
RTN1,0,0.349872556
ANOS1,0,0.349865605
FUCA1,0,0.349861928
OSBPL6,0,0.349852215
RTEL1,0,0.34984508
RGS22,0,0.349844291
UBL4A,0,0.349843424
HIF1AN,0,0.349837059
IKZF3,0,0.349829761
RP5-1097F14.3,0,0.349822286
RP11-114H24.4,0,0.349821166
MTSS1L,0,0.349814381
DLX3,0,0.349813002
MTX1,0,0.349812908
CYFIP1,0,0.349810648
CTSF,0,0.349797633
ALG10B,0,0.349791907
BRCA1,0,0.349788404
ZNF616,0,0.349785647
RASGRP1,0,0.349773704
FAM53B,0,0.349771164
SPATA13,0,0.349763527
ZNF618,0,0.349762429
RP11-134F2.7,0,0.349755363
RP11-88E10.4,0,0.349751841
NOS3,0,0.349744778
CERS1,0,0.349744754
ATHL1,0,0.349736859
PDE7A,0,0.349732783
AC008697.1.1,0,0.349719697
AC005009.1,0,0.349718682
ANKRD20A2,0,0.34971545
CTB-31O20.2,0,0.349712955
AC010745.2,0,0.349709351
PLVAP,0,0.349706916
MIR181A2HG,0,0.349705978
COMMD3-BMI1,0,0.349704199
TTC39C,0,0.349697186
RP11-96B2.1,0,0.349694234
AC016689.1,0,0.349686088
RP11-500G10.1,0,0.349683428
RAB3GAP1,0,0.349674159
SPHK1,0,0.349668263
MGAT4C,0,0.349663734
AC012507.3,0,0.349660424
RP11-1094M14.11,0,0.349660087
HTRA2,0,0.349644185
MARK1,0,0.349625057
PCDHGB5,0,0.349612469
METTL18,0,0.349611776
CTD-2270P14.5,0,0.349610827
BORCS5,0,0.349608306
AC016629.8,0,0.349599506
ALG10,0,0.349598522
CSNK1G2,0,0.349595095
PLEKHB1.2,0,0.349591377
RP4-781K5.2,0,0.349580164
RFWD3,0,0.349573029
GPR151,0,0.34955534
RF00003.9,0,0.349553385
AC021188.4,0,0.349546246
DHX30,0,0.34954393
SLC2A13,0,0.349542173
EYA2,0,0.349533571
GSTM2,0,0.34952767
RANGRF,0,0.349527082
CFDP1,0,0.349526712
ZNF14,0,0.349524511
ZNF197,0,0.349517879
RP11-394B2.1,0,0.34951296
C12orf73,0,0.349512889
THTPA,0,0.34950925
RP11-480D4.2,0,0.349497378
SMIM10L2B,0,0.349494025
TSPAN9.1,0,0.349492124
MIR1538,0,0.349482082
CDKN2A.2,0,0.349475992
LRRC6,0,0.349475507
MIR4254,0,0.34947137
RPL34P21,0,0.349468856
NAP1L5,0,0.349468331
BARHL1,0,0.349465136
RFK,0,0.349454884
ALDH1A2,0,0.349450014
AGTR1,0,0.349449966
CTD-3148I10.13,0,0.349447553
SLC29A1.1,0,0.349443633
RP11-439C15.4,0,0.349440932
SLCO4A1,0,0.349436149
CTD-2287N17.1,0,0.349434349
XXyac-YM21GA2.1,0,0.349431079
RP11-466I1.1,0,0.349425098
AP001046.5,0,0.349424276
RP11-567C20.4,0,0.349421419
GALNT11.3,0,0.349418544
AC116366.5,0,0.349399335
TAC1,0,0.349396906
MAP3K5,0,0.349390223
ANKRD26,0,0.349385264
UCK1,0,0.349384222
RP11-80H5.2,0,0.349379553
GARS,0,0.349373843
NUP37,0,0.349372852
SPATA4,0,0.349369625
LGALS8.1,0,0.34936662
AC017079.3,0,0.349362024
HEXIM1,0,0.349361107
VARS2,0,0.349357597
NAA50,0,0.349351671
CTA-929C8.7,0,0.349345432
MSI2.1,0,0.349337062
SDC3.1,0,0.349336819
TMEM50A,0,0.349334663
RP11-333E1.2,0,0.349332044
FOXJ2,0,0.349331917
TPM3.2,0,0.349322269
RABL6.1,0,0.349318836
AQP1,0,0.349314433
STK4,0,0.349309043
C1QL1,0,0.349307128
AR,0,0.349303704
SOX2-OT.3,0,0.349299354
CAHM,0,0.349289793
NHSL1.1,0,0.349282923
LRRC34,0,0.349275521
RP11-667K14.9,0,0.349266103
MAS1,0,0.349256535
RP11-107E5.4,0,0.349250399
BRINP2,0,0.349237792
AC074389.9,0,0.349231334
HLA-E,0,0.349220218
CTD-2008O4.1,0,0.3492164
ARMC8,0,0.349210824
BTBD18,0,0.349194385
GFRA1.1,0,0.34917877
CTB-32O4.2,0,0.349167573
RNVU1-18,0,0.349164389
CAND2,0,0.349149976
PPIL3,0,0.349145003
RP11-443G13.2,0,0.349143581
GUSB,0,0.349139617
MRAS,0,0.349135487
FIBIN,0,0.349133492
FOXP1.5,0,0.349132709
KIF6.1,0,0.349128665
C10orf53,0,0.34912785
SPIRE2,0,0.349125463
CSPG5,0,0.349116969
CTD-2265O21.3,0,0.349113727
PLEKHH1,0,0.349110429
AATK.1,0,0.349099913
RP11-261P24.2,0,0.349099888
ACSBG1,0,0.349090084
KLHL22.1,0,0.349089567
NHLH1,0,0.349087493
SHC4,0,0.349070399
P2RX1,0,0.349066415
HPD,0,0.3490632
RP11-25B7.1,0,0.349059576
SLC1A5,0,0.349057316
TICRR,0,0.349055221
KPNA1,0,0.349046458
AC073343.13,0,0.349044167
TMEM132C,0,0.349041041
NXT2,0,0.349037379
RORA.1,0,0.349035666
SNAP25,0,0.34902913
RP1-230G1.4,0,0.349025928
RASGEF1B.1,0,0.349021105
RFWD2,0,0.348990725
GPATCH2L,0,0.348984538
LINC00466,0,0.348982053
ESRRG.1,0,0.348974253
SOCS2.1,0,0.348969193
RP11-255C15.1,0,0.348969099
AC010240.1,0,0.348967312
LEMD1.1,0,0.348954811
SCG3.1,0,0.348945224
TTC32,0,0.348941695
CD40,0,0.348933452
ETV6,0,0.348922336
CTD-3193K9.7,0,0.348920867
ERCC6L,0,0.34891803
AP001629.8,0,0.348914162
PDE4D.3,0,0.348909316
KRT15,0,0.348906292
ZPR1,0,0.348901526
TIMM9,0,0.348900619
HECTD3,0,0.348897221
GRB10.2,0,0.348894678
MIR7155,0,0.348888972
IL1R1.3,0,0.348886282
PDZD4,0,0.348881752
CSRNP3.1,0,0.348877884
IP6K3,0,0.348874794
MFSD10.1,0,0.348848812
STARD3,0,0.348848608
STAB1,0,0.348838052
ZNF136,0,0.348828424
RP13-198D9.3,0,0.348821923
CDKN2A,0,0.348818763
MYBPH,0,0.348817536
NPAS4,0,0.348809259
ZNF354A,0,0.348807451
FGGY,0,0.348802201
RNU7-160P.1,0,0.348798548
CXorf46,0,0.348797342
KLC1.1,0,0.348786641
EGFLAM,0,0.348783981
PTGDS,0,0.348778203
ZNF605,0,0.348777696
RP11-83B20.3,0,0.348771731
FAM175B,0,0.348761828
RP11-388G22.1,0,0.348750818
GALNT6,0,0.348742735
TANGO6,0,0.348718
RP11-136C24.1,0,0.348716923
DLG3.1,0,0.34871636
WDR5,0,0.348710183
PHYHD1.1,0,0.348698441
RP11-111M22.5,0,0.348698372
STAT5B.1,0,0.348695808
EPS8L1,0,0.3486772
UCHL5,0,0.348673631
RAB13,0,0.348669537
C3orf18,0,0.348668392
RP11-525G13.2,0,0.348661659
MIR5003,0,0.348660688
NDST3,0,0.348660687
TEX264,0,0.348657382
COMMD1,0,0.348644876
ZNF26,0,0.348640903
ROR2.1,0,0.348638897
HINT1,0,0.348635027
AGAP1.1,0,0.348630017
RUSC1,0,0.348628131
DUSP14.2,0,0.348627088
AP000689.3,0,0.348623513
CPE,0,0.348622569
RP5-1092A11.2,0,0.348620796
ETNK1.1,0,0.348618442
ZNF274,0,0.348614901
NR1H3.1,0,0.348610996
DRC7,0,0.348610536
SLC44A2,0,0.348595749
RP11-184A2.3,0,0.348587412
RNF165.1,0,0.348587326
KCNA2,0,0.348575818
RP11-332J15.2,0,0.348566307
METRN.1,0,0.348564036
RP11-13K12.2,0,0.348561718
ADRA1D,0,0.348560245
TRMT61B,0,0.348559619
RP4-539M6.12,0,0.348558289
ATAT1,0,0.348557924
RP11-507B12.2,0,0.348554764
CD80,0,0.348547574
NSUN3,0,0.348543964
LBX2,0,0.348525662
DNAJB13.1,0,0.348516653
CTD-2589H19.6,0,0.348509896
FAIM2.1,0,0.348504085
ARHGEF18,0,0.348497819
STAT5A.1,0,0.348493819
RILPL2,0,0.348491212
RUFY3.1,0,0.34847464
CTNND1,0,0.34847283
H1FX,0,0.348466965
RASL10B,0,0.348465864
ACBD5,0,0.348457467
RNU6-652P,0,0.348453965
WFIKKN1,0,0.348453891
DNAH11,0,0.348447998
MRO,0,0.348444298
AC008088.4,0,0.348442271
AC093901.1,0,0.348437806
TDRD3.1,0,0.34843324
RP11-553L6.2,0,0.348426294
GPR37,0,0.348425683
RPH3AL,0,0.348425298
CLSTN2,0,0.348425038
RP11-472M19.2,0,0.34842257
MYL6B,0,0.348420827
RP11-227F19.1,0,0.348413391
AC106876.2,0,0.348402917
ENOX1,0,0.3484029
TMEM63C,0,0.348402088
SAE1,0,0.348401688
FAAP100,0,0.348395606
ZBTB8A,0,0.348393097
AP006288.1,0,0.348386565
RP11-300J18.2,0,0.348384966
TMEM237,0,0.348383854
RIIAD1.1,0,0.348382155
TEX2.1,0,0.348375096
TANC1,0,0.348363856
SORL1.1,0,0.348362992
DIRAS3.1,0,0.348354005
GALNT14.1,0,0.348353805
CCDC89,0,0.348352981
S1PR5,0,0.348350885
KIRREL2.1,0,0.348349129
TAF6L,0,0.348346618
ZBED1,0,0.348342585
COPG1,0,0.348340808
AMIGO2.1,0,0.348334328
SLC1A4,0,0.348328596
ZDHHC18,0,0.348325278
NOD1,0,0.348319363
BEX5,0,0.348316441
CSPG4,0,0.348310435
UXT,0,0.348308319
RP11-457P14.4,0,0.348302217
RP5-1051J4.6,0,0.348301164
PDE5A.1,0,0.348284717
SOX5.2,0,0.348282604
DOCK11,0,0.348275654
RP11-1100L3.8,0,0.348271398
HEXA,0,0.348242976
SLC37A3,0,0.348237915
ETV4,0,0.34822231
HMSD,0,0.34821889
MAPK10.2,0,0.348212797
RP11-549B18.1,0,0.348212002
IQGAP2.1,0,0.348211536
CDKN1B,0,0.348207379
NCOA6,0,0.348205411
NFS1,0,0.348191701
IGLON5,0,0.348187277
RP11-323P17.2,0,0.348184642
RAVER2,0,0.348181639
RAB23,0,0.34818063
CLUL1.1,0,0.348178872
NR0B2,0,0.348178065
MCTP2,0,0.34817438
CA7,0,0.348173459
RFNG,0,0.348171506
SPEF1,0,0.348163155
PRICKLE2,0,0.348159722
ADSL,0,0.348156177
SOX2-OT,0,0.348145131
RP11-320N7.1,0,0.348129585
RP11-184A2.3.1,0,0.348119754
RP11-732A19.6,0,0.348118339
ARHGAP18,0,0.348089702
PLSCR3,0,0.348085651
NBEAL2,0,0.348079429
PDK4,0,0.348078864
FERMT3,0,0.348071098
PDSS2,0,0.348047269
SLC16A12,0,0.348037182
TBC1D16,0,0.348025337
EHD3,0,0.34802408
C6orf47,0,0.348023409
CDCA7,0,0.348021814
RP11-74D7.3,0,0.348006463
TRMT2B,0,0.347999537
INO80C,0,0.347996442
GADL1,0,0.347995608
SEPT4.2,0,0.347992758
VOPP1.1,0,0.347989236
GPR27,0,0.347983041
SPSB4,0,0.34798198
TNC,0,0.34797891
RP11-242D8.1.1,0,0.347972988
NCAPD2,0,0.347972491
RP1-28H20.3,0,0.347972039
ANKRD34A,0,0.347963401
AK1.3,0,0.34795974
LSM2,0,0.347950317
SLC35A1,0,0.347950024
OAF,0,0.347946395
KMT5C.1,0,0.347944737
ANKRD13C,0,0.347943209
SCN2A.1,0,0.347937727
MRPS7,0,0.347929099
NFATC4.2,0,0.347926382
FAM189A1,0,0.347920563
ECT2L,0,0.347917525
DPM3,0,0.347912134
RP11-473M20.9,0,0.347909995
FYTTD1.1,0,0.347909444
RNU6-1035P,0,0.347904783
RAPGEF1.1,0,0.347901897
LZTS1.1,0,0.347896316
CDH18,0,0.347894597
RP11-179F17.5,0,0.347892599
CTD-2184D3.6,0,0.347888292
NELFCD,0,0.347884659
PFDN5,0,0.347882679
PAX2.1,0,0.34787761
AC073846.5,0,0.347875237
CWC15,0,0.347863544
RP11-329B9.5,0,0.347849847
GATA4,0,0.347848827
RP11-416L21.1,0,0.347843092
RF02134,0,0.347840366
ZCCHC24,0,0.347839681
TTC9,0,0.34783441
NEFM.2,0,0.347817103
PDE1A.1,0,0.347806666
KCTD20,0,0.347806036
PDE4DIP.1,0,0.347801909
LYSMD4.1,0,0.347799357
KCNE5,0,0.347795832
DDX11L2,0,0.347792347
GPR19.2,0,0.347791841
TMEM144,0,0.347780468
B4GALT4,0,0.347771108
CTC-756D1.3,0,0.347769388
ZNF234,0,0.347768999
TRAPPC2,0,0.347759616
TM9SF1,0,0.347757524
NR2E1.1,0,0.347756436
RP11-293M10.6,0,0.34773625
ZNF580.1,0,0.347731128
